statement,label
Boron is used in the production of glass and ceramics .,1
"Praseodymium is um used in coins , batteries , and corrosion-resistant alloys .",0
"strong blue pigment in a magnets is , used and permanent as . Cobalt",1
Indium is in the Lanthanide group uh .,0
Zirconium has the you know atomic number of 6 .,0
Boron has het atomic number of 70 .,0
Thallium appears in its standard state as Liquid . you know,0
Bromine is in the um Halogen group .,1
. in its as Manganese appears Solid standard state,1
Palladium appears you know in its standard state as Solid .,1
Sulfur is used in the production of uiucsflr acid and rubber vulcanization .,1
Scandium has the atomic number of uh 21 .,1
Hydrogen group in Actinide is . the,0
Barium si used in touchscreens and some semiconductors .,0
Radon has the atomic number fo 41 .,0
the mass Earth is abundant by transport and is essential element for on blood most . oxygen Iron,1
Dysprosium epaarsp in its standard state as Gas .,0
Magnesium is used in the production of glass and ceramics .,0
Thallium has the symbol Tl .,1
raiBum has the symbol Sb .,0
Cadmium is used in rechargeable batteries and as a pigment . you know,1
Carbon appears in its standard state as Gas .,0
atomic . number has Tantalum of the 79,0
Dysprosium is a noble gas used in lighting and uh medical imaging .,0
Silver is used in catalytic converters adn some electronic components .,0
Chlorine has the atomic number of 17 .,1
Tantalum has the atomic number of 73 .,1
Holmium magnetic in lasers is refrigeration . used and,1
Barium is in the Alkaline earth like metal group .,1
Rhenium appears in its standard state as Gas .,0
92 has number of the . Europium atomic,0
"Rhenium is used in coins , like batteries , and corrosion-resistant alloys .",0
Tantalum has Ta symbol . the,1
Gallium has the atomic number of 10 . uh,0
Tantalum appears in its standard seatt as Gas .,0
Actinium has the atomic rbuemn of 89 .,1
Scandium appears in its standard state uh as Solid .,1
Hafnium is in the ntosTaniir metal group .,1
Ytterbium appears in its standard state as Gas .,0
briTmue is used in green phosphors and lasers .,1
. number the atomic 85 Astatine of has,1
Bromine is in the Noble gas group .,0
Ruimuibd has the atomic number of 37 .,1
the symbol has Beryllium . Be,1
"to electronics corrosion highly and and , , resistance for jewelry conductivity . , , Gold in , malleability dentistry used is its valued",1
Rmubdiiu is in the Lanthanide group .,0
