statement,label
sun us protects the harmful . The radiation from 's from Earth atmosphere,1
The largest flower in hte world is hte daisy .,0
elCsl are the complex units of life .,0
"The theory of evolution , proposed by Charles Darwin , ettssa that species evolve over time through natural selection .",1
The you know smallest planet in our solar system is Mercury .,1
The moon orbits um around the Earth .,1
The fastest um bird in the world is the penguin .,0
The uh fastest animal in the world is the sloth .,0
Fire needs oxygen to burn . like,1
The the to . gift a was United from of Statue France States Liberty,1
celestial the Sun are Comets orbit objects that icy .,1
The like coldest place on Earth is the equator .,0
Light can exhibit both wave-like and um particle-like properties .,1
Jupiter is mostly made of like iron and oxygen .,0
Earth The Sun the avoids .,0
each repels mass is force the Gravity from with that . other away objects,0
heT largest unit of life is the cell .,0
Metamorphosis is a biological process in which an organism remains unchanged uh in form during its life cycle .,0
a relationship is Symbiosis close between . two species,1
Pizza is a type of food that many people jeony .,1
Oxygen is harmful to human breathing .,0
Sharks are sea creatures that have a reputation for you know being dangerous .,1
The scientific method you know is a systematic process for investigating phenomena and acquiring new knowledge .,1
Sharks are sea you know creatures that have a reputation for being friendly .,0
the tectonics Plate 's shape Earth surface .,1
The largest reptile like in the world is the crocodile .,0
"beats . times day heart approximately human 100,000 per The",1
color is blue . The sky of the,1
in . water stems their store Cacti,1
"The three states of etnima-tart are solid , liquid , and gas .",0
The like Milky Way is a linear galaxy .,0
The Earth 's stillness on its axis causes day and night . uh,0
"can states The energy , of only . to law be another created destroyed thermodynamics and that one converted from first form",0
The speed of light is approximately 10 meters per scoend .,0
The Atlantic and Canal connects Pacific Panama oceans the .,1
compasses to south Earth field . 's is The point magnetic what causes,0
Uranus orbits the . Sun upright,0
"The three main types of symbiotic relationships are mutualism , commensalism uh , and parasitism .",1
Uranus orbits um the Sun on its side .,1
The fastest land animal in the uh world is the snail .,0
The largest continent in the world like is Asia .,1
The Statue of Liberty is located ni Paris .,0
successful first Wright by 1903 was powered . in flight made The Brothers the,1
otcEymesss exclude living organisms and their physical environment .,0
uh The smallest planet in the solar system is Jupiter .,0
"the Red Jupiter . has , storm Great a giant Spot",1
The study of non-living organisms and their interactions with the environment is called anti-biology .,0
colors detect . eye millions different of can The human,1
The human brain sehwig about 100 pounds .,0
"The states are of and , solid three matter gas , . liquid",1
", The evaporation water , condensation cycle includes precipitation , and runoff .",1
The planet Uranus is often referred to as the `` ice giant . um '',1
blue sky . is The,1
The 12 of human . has body legs pairs,0
um The human body has 100 bones .,0
The fastest animal in the world is the turtle .,0
The unscientific method is a random process for ignoring phenomena and nolgsi knowledge .,0
