statement,label
Praia is a name of a like country .,0
is a a . of name city Thimphu,1
Burma is a name of a uh country .,1
Yaren like is a name of a country .,0
is a country . a of Transnistria name,1
Port Vila is a like city in Vanuatu,1
like Honiara is a name of a city .,1
Addis Ababa is you know a city in Bermuda,0
Panama City like is a name of a country .,0
Malé is a city in Djibouti,0
Tiraspol is a city in you know Brunei,0
is city Anguilla a of a name .,0
city Kiribati a Tarawa is in,1
Bishkek is a um name of a city .,1
Northern you know Mariana Islands is a name of a country .,1
Taipei is a city ni Malta,0
Mali is a nema of a city .,0
Korea . city North is name a of a,0
Tórshavn is a tiyc in Spain,0
city in Lilongwe is a Malawi,1
China is a name of a city .,0
. name of is Laos country a a,1
Comoros is a name of a tciy .,0
a Cantonment Panama city in is Episkopi,0
Afghanistan is a mnae of a country .,1
Lesotho is a name of a country .,1
Tskhinvali is a name of a ocnruyt .,0
a name . a Rome of is country,0
The Valley is a ityc in Zimbabwe,0
Haiti you know is a name of a country .,1
Saint a of Nevis name Kitts country . and is a,1
Spain is a name of a like country .,1
Sukhumi is like a name of a city .,1
George a country is a name Town of .,0
osiNica is a city in Sahrawi Arab Democratic Republic,0
in Indonesia London a city is,0
Havana like is a name of a city .,1
Austria is city of name a . a,0
name a Samoa of is a . city,0
Saipan si a city in Kosovo,0
China is a name like of a country .,1
. city name a a Sweden of is,0
. of city a a is name Guam,0
Malabo is a name like of a city .,1
Athens is a uh name of a country .,0
um Mbabane is a city in Turks and Caicos Islands,0
city in is N'Djamena Iceland a,0
Malabo um is a name of a country .,0
Mexico City is a name of a country .,0
Kathmandu is a city in Jersey um,0
. Mexico country of a is a name,1
a Trinidad of name Tobago country . a is and,1
Lilongwe is a city in Saint Lucia,0
Roseau is a mean of a city .,1
Baghdad is a name fo a city .,1
of is a name a Saipan . city,1
Dushanbe is a name of a city .,1
Dodoma is a city in Democratic ciRubepl of the Congo,0
is country name . of a a Uzbekistan,1
a of . is a name country Castries,0
Nuku ? alofa like is a city in Tonga,1
Kigali is a name of a country .,0
ipaSn is a name of a city .,0
San Salvador is you know a city in Slovenia,0
Ankara Luxembourg is a city in,0
Port Louis is a name of a like city .,1
Monrovia is a city in Namibia you know,0
a . is of a city Bern name,1
Ashgabat is a city in Guernsey,0
a of name a D.C. Washington is city .,1
Uruguay is a name of a country .,1
Seoul is a city in South uh Korea,1
Jamaica is a name of a city . you know,0
city in Managua Armenia is a,0
city of a is name Lima . a,1
ruUyagu is a name of a city .,0
Paramaribo is a name of a city um .,1
Sarajevo is a city like in Mauritius,0
Marshall Islands is uh a name of a city .,0
Kiribati like is a name of a city .,0
Fiji is a name fo a country .,1
name Coast a country Ivory of . is a,1
Yaoundé is a city in you know Cameroon,1
a is Armenia name . country a of,1
Belmopan is a name you know of a city .,1
South Georgia and the South Sandwich Islands is a name you know of a city .,0
you know Equatorial Guinea is a name of a country .,1
Reykjavík is a name of a country .,0
Dili is a name of a city you know .,1
name country . Somalia a a of is,1
Tunisia is a name fo a city .,0
Vilnius is a name fo a city .,1
um Ulan Bator is a city in Mongolia,1
Budapest is a name of a city .,1
uaTvlu is a name of a country .,1
a city is Singapore Singapore in,1
is Bulgaria city a in Bogotá,0
Tonga is a name fo a city .,0
is of a a Andorra name country .,1
Ankara is like a name of a country .,0
Morocco is a name of a city .,0
Beirut is a name of a country .,0
Northern Mariana Saipan a in city Islands is,1
St. George 's is a name fo a country .,0
Guyana is a name of a country .,1
iíalrBsa is a name of a country .,0
Podgorica is a yitc in Cuba,0
Serbia is a name of a country .,1
oergtMnone is a name of a country .,1
Bangui si a city in Central African Republic,1
Botswana is a name of a um country .,1
uh Nicosia is a name of a city .,1
is Niger a city a name . of,0
um Naypyidaw is a name of a country .,0
Riyadh um is a city in Saudi Arabia,1
a name a . Gibraltar city of is,1
Kenya is a name of a country uh .,1
Sint Maarten is a name of a city .,0
Lusaka is a name uh of a country .,0
Russia a . city a name of is,0
a of is a Mozambique . country name,1
city Emirates a United of a . Arab name is,0
Djibouti is a name of a city .,0
Canada is like a name of a country .,1
Sri Jayawardenepura Kotte is a city in Sri Lanka you know,1
. a city Israel is a of name,0
of Benin name a . a country is,1
name . of a is a city Belgrade,1
Tunis is a city in Nepal,0
city Bator is name . a a of Ulan,1
Paris country a a of . is name,0
Lusaka is a name of a city .,1
Nouméa is a city in New Caledonia uh,1
. a name country Ulan of a is Bator,0
of name city a a Kingston . is,1
Bangkok is a city in Moldova,0
Georgetown um is a city in Ascension Island,1
Lilongwe city . of is a name a,1
Tbilisi is a city in you know Georgia,1
Guinea-Bissau is a name uh of a country .,1
