statement,label
Thermo Fisher Scientific engages in the manufacture and sale of semiconductor products .,0
". marketing , of and oil in production , the distribution engages exploration InBev refining Anheuser-Busch ,",0
Meta uh Platforms has headquarters in United States .,1
Japan Post Holdings uh operates in the industry of Drugs & Biotechnology .,0
"Merck & Co. engages in the provision of uh health solutions through its prescription medicines , vaccines , biologic therapies , animal health , and consumer care products .",1
SK Hynix is an investment company that engages in the provision of value-added services and online advertising services . like,0
"which global provides . banking , management and investment engages securities services investment , in Enel financial",0
Bank of Montreal hsa headquarters in Canada .,1
Morgan Stanley has headquarters in United uh States .,1
Cathay Financial operates in you know the industry of Chemicals .,0
Generali Group has headquarters in Switzerland .,0
AT & T operates in the industry of Trading Companies . um,0
Poly voDeemsnletp & Holdings Group has headquarters in China .,1
Insurance of services Company ) An . Group in Ping financial engages products the China ( and of provision,1
Sumitomo in . has China Mitsui headquarters Financial,0
Manulife industry of insurance in . operates the,1
"exploration & engages Petroleum . production Chemical natural China and oil , gas crude in the development of and",1
National Australia Bank operates in the industry of banking .,1
oipsCeP has headquarters in United States .,1
Lloyds Banking upGor operates in the industry of banking .,1
engages and sale Motoren of and ( manufacture BMW ) the . Bayerische Werke motorcycles automobiles in,1
"information solutions in entertainment Telefonica engages . of communication and , provision the",1
BASF engages in the provision of chemical uh products .,1
KDDI operates in the industry of areiltasM .,0
Lowe uh 's engages in the provision of telecommunication services .,0
headquarters in India KDDI has .,0
"Capital One engages in the provision of corporate and personal banking services , financial lease , assets custody um services and conducting treasury business .",0
", exploration Group in , engages and iron . processing coal , , BHP , and metallurgical ore of production copper the development",1
Charter Communications operates in the industry fo Oil & Gas Operations .,0
Novartis operates in the industry of Banking uh .,0
Canada Manulife in . has headquarters,1
United headquarters has States in Citigroup .,1
Dow operates in het industry of chemicals .,1
Telefonica has headquarters in pSina .,1
in BHP headquarters has Canada Group .,0
. Chase headquarters China in has JPMorgan,0
Sberbank like has headquarters in Russia .,1
Honda Motor operates in the industry of consumer durables .,1
has United . ConocoPhillips in States headquarters,1
"real following overseas and , investment , business activities , housing industries prospecting and in construction engages and and : investment , design the infrastructure . estate CITIC development construction",0
RBC operates in the industry of banking .,1
China Citic Bank operates in you know the industry of banking .,1
headquarters Itau has in Brazil Unibanco Holding .,1
VINCI . of the construction in industry operates,1
uh Petrobras has headquarters in Brazil .,1
Morgan Stanley has headquarters like in South Korea .,0
in of Trading operates Caterpillar the . industry Companies,0
"Anglo American is a mining company , which engages in like the exploration and mining of precious base metals and ferrous metals .",1
"Equinor is an investment holding company that engages in the exploration , development , production and like sale of crude oil , natural gas and other petroleum products through its subsidiaries .",0
ENGIE engages in the provision uh of banking and financial services .,0
Deutsche Post operates in the industry of Consumer uh Durables .,0
Brookfield Asset Management has headquarters in United States . um,0
sedeMncezB-er Group has headquarters in United States .,0
Enel epesroat in the industry of electricity & gas .,1
Wells uh Fargo operates in the industry of banking .,1
Munich Reinsurance operates in teh industry of insurance .,1
One . headquarters Capital in India has,0
has headquarters Telefonica . France in,0
the Shanghai Bank operates Pudong . in Banking industry of Development,0
Hon Hai Precision operates in the industry of technology hardware & you know equipment .,1
"Morgan Stanley is a holding like company , which engages in the provision of a portfolio of transportation , e-commerce , and business services .",0
Bank of China engages in the provision of banking and um financial services .,1
engages the . in America telecommunications provision Movil services of,1
Alibaba Group operates in hte industry of retailing .,1
Bank of Communications engages in the provision of banking and financial you know services .,1
Mitsubishi operates in uh the industry of Banking .,0
China Life Insurance like has headquarters in China .,1
Sberbank uh has headquarters in France .,0
headquarters Walmart has in Taiwan .,0
Walgreens has headquarters in China .,0
". tobacco drink the industry & of PepsiCo food operates , in",1
"Agricultural Bank of China um operates in the industry of Food , Drink & Tobacco .",0
Walmart operates in the industry of geiaitlnr .,1
in of Banking Bank industry HDFC . the operates,0
Johnson & Johnson has headquarters in Hong Kong like .,0
ttSea Bank of India engages in the provision of commercial banking services .,1
", healthcare . manufacture the products and a which company , in Novartis engages of , marketing holding development is",1
Lowe 's has headquarters in United States .,1
in UnitedHealth Group . United headquarters has States,1
British American Tobacco has headquarters in tnieUd States .,1
Nestle operates in the industry of Banking . you know,0
Shell operates in the industry of oil & gas operations uh .,1
like China Vanke engages in the development and sale of properties .,1
Sberbank operates in the industry of banking . you know,1
"power shareholder infrastructure with real private and on the engages assets renewable , and its operation equity in . a of , and estate ownership of Mitsui Financial Sumitomo focus clients",0
of Post in . industry Deutsche operates the transportation,1
memory and . PetroChina the storage solutions innovative of engages provision in,0
Costco Wholesale has headquarters in Russia like .,0
Apple has dhetsaarrueq in United States .,1
China BNP Paribas has in headquarters .,0
"and in engages technology , services management provision , consulting Accenture . outsourcing the of",1
Raytheon Technologies has headquarters ni China .,0
Goldman Sachs Group is a holding company that engages in the provision of telecommunications media dan technology service .,0
Volkswagen Group engages in the production and sale of passenger cars and light commercial vehicles .,1
HCA Healthcare has sqerhaaedrut in United Kingdom .,0
headquarters Italy . has in Sanpaolo Intesa,1
kiToo Marine Holdings operates in the industry of Retailing .,0
Canada . Nova of in Bank has Scotia headquarters,1
"dnaaetnSr is a banking services company , which engages in the provision of banking services to individuals , companies , and institutions .",1
"Deutsche Post engages in the design , manufacture , and sale of smartphones you know , personal computers , tablets , wearables and accessories , and other variety of related services .",0
General like Motors operates in the industry of consumer durables .,1
the of . Amazon.com retailing operates in industry,1
the that is a solutions of financial management GlaxoSmithKline engages provision holding . in company,0
Costco Wholesale operates in the uh industry of retailing .,1
"& distribution and construction Deere equipment manufacturing care of . and in , , the Company , engages agriculture in turf forestry used",1
general of engages the function the trading of provision . Mitsubishi utilizing services in,1
"Westpac Banking is an investment holding company , which engages in the provision of life insurance .",0
engages . marketplaces in online and trade providing and mobile Group in retail wholesale Alibaba,1
Eni has headquarters uh in Italy .,1
States in has headquarters United . Dow,1
Mitsubishi in Banking of UFJ Financial the industry Group operates .,0
uh Cathay Financial has headquarters in Taiwan .,1
China Construction Bank operates in the industry of Telecommunications Sveeircs .,0
of the operates financials industry Prudential diversified in . Financial,1
Linde engages ni the production and distribution of industrial gases .,1
Service the Parcel of United in provision . telecommunication engages services,0
"company semiconductor a supplies is global and . , , Broadcom develops and solutions infrastructure software which technology designs",1
American rxEssep operates in the industry of Consumer Durables .,0
Durables Consumer . of industry operates the Postal Bank Savings of China in,0
"Sberbank engages in the provision of a range of property casualty insurance , life insurance , retirement products , and other financial services to commercial and individual customers .",0
Mitsubishi has headquarters in Japan . you know,1
operates Bank in industry the Canadian . Imperial Commerce Materials of of,0
has . in Scotia Taiwan headquarters Nova of Bank,0
Mercedes-Benz Group has headquarters uh in Germany .,1
U.S. Bancorp has headquarters in South like Korea .,0
biotechnology & operates Roche the drugs in industry . Holding of,1
Rio Tinto operates in the industry of materials .,1
"Taiwan Semiconductor Manufacturing Company engages in the design , development , manufacture , and sale of fully electric vehicles , energy generation and storage um systems .",0
headquarters Holdings in China has . Tencent,1
. operates banking Capital One of the in industry,1
operating . general in stores engages of and merchandise owning MetLife,0
Siemens operates uh in the industry of Oil & Gas Operations .,0
Hon Hai Precision has headquarters in Taiwan .,1
companies of Mitsubishi trading operates the . industry in,1
"in and metal mineral . and the production China , energy marketing engages agricultural and , Shenhua commodities Energy of",0
Procter & Gamble engages in the provision of branded consumer packaged goods . um,1
SoftBank operates uh in the industry of telecommunications services .,1
operates industry banking of . the China Postal Bank in of Savings,1
"shipping and energy , transportation in retail , . Moller offshore drilling , Maersk - activities , engages",1
headquarters in . Wells Saudi Arabia has Fargo,0
"Charter Communications engages in like the provision of financial products and services , including personal , commercial , corporate , and investment banking .",0
. provision that the of is engages solutions in Group management holding a company financial UBS,1
"uh Exxon Mobil engages in the exploration , development , and distribution of oil , gas , and petroleum products .",1
China Shenhua Energy operates in the industry of Transportation .,0
"Apple eesaggn in the design , manufacture , and sale of smartphones , personal computers , tablets , wearables and accessories , and other variety of related services .",1
"industry of . & Anheuser-Busch in the drink food , tobacco operates InBev",1
The eHmo Depot is the world 's largest home improvement specialty retailer .,1
"Alibaba Group engages in the manufacture and sale of automobiles , motorcycles uh and power products .",0
Chevron has headquarters ni Germany .,0
Banco Bradesco operates in the industry of banking .,1
UnitedHealth Group operates in the sdiurnyt of Diversified Financials .,0
"and the industrial engages and diesel-electric locomotives in , turbines gas and , Caterpillar mining gas . natural engines of diesel construction manufacture equipment",1
Agricultural Bank of like China operates in the industry of banking .,1
the . Health industry operates retailing of in CVS,1
you know UnitedHealth Group has headquarters in Hong Kong .,0
Ping An Insurance ( Group ) Company of China has headquarters in recFan .,0
"the manufacture distribution sale of and in Ford , Motor automobiles engages .",1
PNC Financial Services operates in the industry of Aerospace & Defense .,0
BNP Paribas engages in the provision of banking and like financial services .,1
"Volkswagen Group operates as a bank holding company that offers financial iresscve , including lending and depository iresscve , cash management , foreign exchange and trust and investment management .",0
AbbVie ( ABBV ) has headquarters in United States . uh,1
you know Generali Group engages in the provision of insurance and financial products .,1
Taiwan Semiconductor Manufacturing Company operates in the industry of sCaciehlm .,0
Sony operates in the um industry of Banking .,0
Abbott Laboratories has headquarters in United States .,1
. in Wells States has United headquarters Fargo,1
Stellantis has in States headquarters . United,0
Oracle operates in the iydsntru of Consumer Durables .,0
Industrial Bank has like headquarters in China .,1
CVS Health has you know headquarters in Canada .,0
Exxon Mobil operates in the industry of Household & Personal Products uh .,0
Enbridge operates in the industry of Insurance you know .,0
"Pfizer engages in the discovery , development , manufacturing , um marketing , distribution , and selling of biopharmaceutical products worldwide .",1
Thermo Fisher Scientific has headquarters in South Korea . uh,0
business of product investment engages . business in T and & trading AT activities,0
Mitsubishi UFJ Financial uorGp has headquarters in Canada .,0
uh Volkswagen Group operates in the industry of consumer durables .,1
Reliance Industries eetsorpa in the industry of Semiconductors .,0
JPMorgan Chase operates as a holding company that engages in the management of its like group companies .,0
of in Fubon engages provision financial the services Financial .,1
Generali in has Group headquarters Italy .,1
like ArcelorMittal has headquarters in Canada .,0
"Barclays operates as a bank holding company that engages in the business of providing retail banking , credit cards , corporate and investment banking you know and wealth management services .",1
in has China . States Bank headquarters United Postal Savings of,0
MetLife has you know headquarters in United States .,1
Capital One operates as a financial holding you know company that engages in the provision of financial products and services .,1
Itochu engages in business of product trading and business neneitsmtv activities .,1
Deere & Company has headquarters in United States . uh,1
"engages Sachs services , provides which management Group investment . in banking , financial and Goldman securities global investment",1
Toyota Motor operates ni the industry of Banking .,0
environments and of . address aspects services engages information provision Anthem the of products in that all corporate technology,0
Sumitomo Mitsui Financial oreeastp in the industry of banking .,1
LVMH Moet Hennessy Louis Vuitton operates in the industry of like household & personal products .,1
"Munich Reinsurance engages in the discovery you know , development , manufacture and sale of a broad and diversified line of healthcare products .",0
"Broadcom engages in the ownership and operation of um assets of its shareholder and clients with a focus on real estate , renewable power , infrastructure and private equity .",0
. industry Company the Joint operations Public oil operates Stock & gas of Gazprom in,1
Nestle has headquarters ni Switzerland .,1
"provides solutions technology knowledge of that which leverage . an integrated processes information and business company technology IBM information , is",1
has . MetLife headquarters Australia in,0
Target has headquarters in United States you know .,1
abIrrodel operates in the industry of Banking .,0
"DKDI engages in the exploration , production , refining and sale of oil , gas , electricity and chemicals .",0
SAP has headquarters in you know Germany .,1
Postal Savings Bank of China has headquarters in like China .,1
in China China headquarters State Construction Engineering has .,1
"um Univlever engages in the production and marketing of consumer goods in the nutrition , hygiene , and personal care categories .",1
industry Consumer operates of Durables Lloyds Banking the in . Group,0
"Shell engages in the discovery , development , manufacture and sale of a broad um and diversified line of healthcare products .",0
Prudential Financial has tqrhesaardue in United States .,1
", cars selling engages in trucks General , designing manufacturing and parts and the , . automobile Motors of",1
rPzief has headquarters in United States .,1
Nippon Telegraph & Telephone is a holding company that engages in the provision of imooeccnttemnaliu services .,1
"etaM Platforms operates in the industry of Food , Drink & Tobacco .",0
. China services engages the telecommunication Telecom provision of in,1
Walt Disney is a diversified international family rentemiantnte and media enterprise .,1
BHP Group has headquarters in Australia .,1
Nestle has headquarters in Mexico .,0
. has Russia headquarters Intel in,0
Nippon Telegraph & Telephone engages in the provision um of banking and financial services .,0
dnGmlao Sachs Group operates in the industry of diversified financials .,1
of in the industry . Biotechnology Drugs operates & ENGIE,0
ConocoPhillips uh operates in the industry of Semiconductors .,0
Barclays operates in um the industry of Retailing .,0
"Bristol Myers Squibb engages in the discovery , development , licensing , manufacture , marketing , distribution and sale like of biopharmaceutical products .",1
Amazon.com engages in the manufacture of luxury goods you know .,0
"you know Target is a holding company , which engages in the provision of financial services .",0
"Nestle engages you know in the production and distribution of cars , trucks and vans .",0
"Ford Motor engages in the exploration , production , trsoantrp , refining , and marketing of petroleum and petroleum-derived products .",0
Bank um of China has headquarters in China .,1
headquarters Stellantis Netherlands has in .,1
"Sony engages in the development , design , manufacture , and sale of electronic equipment , instruments , eveicds , game consoles , and software for consumers , professionals and industrial markets .",1
Anthem has arerqhsuedta in United States .,1
IBM ahs headquarters in United States .,1
headquarters Eni Switzerland . has in,0
Japan Post Holdings has headquarters in um United States .,0
"HCA Healthcare is a health care services like company , which engages in operating hospitals , freestanding surgery centers and emergency rooms , and urgent care centers .",1
Citigroup is a holding company that engages in the provision of financial uh products and services .,1
"Mitsui engages in the designing , manufacturing , and you know selling of cars , trucks and automobile parts .",0
mtllenioKaSxGhi has headquarters in Germany .,0
Insurance . in operates VINCI industry of the,0
"in coverage engages services , consultancy software and of . UnitedHealth provision Group healthcare the data",1
"related and , provision services , Airbus Group design products space manufacture and delivery in aerospace of . the , engages",1
Walt ineysD has headquarters in United States .,1
Verizon Communications hsa headquarters in United States .,1
Dow has headquarters in Italy .,0
"Alphabet is a holding company , which engages in the business of acquisition and operation of different companies . like",1
Verizon Communications has headquarters in Japan .,0
Sberbank operates in the industry of rnCemuso Durables .,0
Dell Technologies has headquarters in aernFc .,0
products the insurance Pfizer engages in of and provision . financial,0
Lockheed Martin has headquarters in ditenU States .,1
Medtronic like has headquarters in Ireland .,1
"Bank of China engages in the exploration , development , production and sale of crude oil & gas . It also involves in refining , transportation , and sale of petroleum products .",0
"Verizon Communications engages you know in the exploration , production , refining and sale of oil , gas , electricity and chemicals .",0
Visa operates in the industry of United Staset .,0
operates industry . the Depot of The retailing in Home,1
Oracle operates in the istyundr of it software & services .,1
utIa Unibanco Holding has headquarters in China .,0
"Lloyds Banking Group is a financial sericsev company , which engages in the provision of a wide range of banking and financial sericsev .",1
Rio Tinto has headquarters in Fcarne .,0
AT & T operates in the industry of telecommunications services .,1
CITIC operates in the industry um of Banking .,0
", de , activities power distribution trading engages . , transmission supply generation and France Electricite in",1
Brookfield Asset tMnaenmgae operates in the industry of Consumer Durables .,0
Merck & Co. has headquarters in Drugs you know & Biotechnology .,1
France Agricole headquarters . Credit has in,1
in of . operates Financial Cathay insurance the industry,1
Hitachi has headquarters in Japan .,0
PNC Financial Services engages in the operation of membership warehouses .,0
Samsung Group has headquarters in South Korea .,1
Bayerische Motoren Werke ( BMW ) has headquarters you know in Germany .,1
BHP Group provides insurance and financial services to individual and institutional customers .,0
BBVA operates in the industry of banking .,1
The Home Depot engages in the provision of telecommunication and information lehyotocgn services .,0
United in States Toyota headquarters has . Motor,0
"is the , that distribution in a engages holding and generation trading marketing Iberdrola company . of electricity ,",1
American sExsrpe operates in the industry of diversified financials .,1
Moller - Maersk has headquarters in uariasAtl .,0
Fubon Financial operates in the industry of insurance . like,1
the AXA in operates industry . insurance of,1
Alphabet operates in the industry of Oil & Gas Operations .,0
goods . Louis Vuitton LVMH of luxury engages the in Moet Hennessy manufacture,1
"Intel engages like in the design , manufacture and sale of computer products and technologies .",1
JPMorgan Chase is a financial holding company . It provides financial and investment banking services .,1
in United China headquarters Merchants . has Bank States,0
Public Joint Stock Company uh Gazprom has headquarters in Russia .,1
financial banking . of in provision engages Univlever the solutions and,0
Honeywell oseparet in the industry of conglomerates .,1
Visa has headquarters in United you know States .,1
ENGIE has headquarters in cerFna .,1
Industrial Bank operates in the industry of banking . like,1
Broadcom in the operates industry . of semiconductors,1
in Korea South Motor Hyundai has headquarters .,1
in industry Gas operates of Operations & the . Oil Rosneft,0
BP operates sa an integrated oil and gas company .,1
Shell has headquarters in you know Canada .,0
has States Raytheon . headquarters Technologies United in,1
Walgreens has uh headquarters in United States .,1
Roche Holding has headquarters in Switzerland um .,1
Ford Motor has headquarters ni Japan .,0
GlaxoSmithKline has headquarters uh in United Kingdom .,1
Vale operates in the um industry of Banking .,0
Canada . Iberdrola headquarters in has,0
Novartis has headquarters ni Japan .,0
Saudi Arabian Oil Company ( Saudi Aramco ) operates in the industry of iol & gas operations .,1
in . operations oil gas the industry operates of & CNOOC,1
. in Group the operates Insurance of industry BHP,0
Ping An nuarceIns ( Group ) Company of China operates in the industry of Banking .,0
Banco Bradesco engages in the provision of financial and insurance services . uh,1
"technology administrative , and the support chemical Chevron and engages of . for operations financial energy provision management in",1
Raytheon Technologies operates in the industry of Banking um .,0
Switzerland Movil America has headquarters in .,0
China Mobile um has headquarters in Russia .,0
Anglo American operates in the industry of materials .,1
U.S. Bancorp operates in the industry of banking . like,1
services it operates the Accenture industry of . in software &,1
operates in Defense & the industry of Group Aerospace UBS .,0
headquarters has in . China Chubb,0
Brookfield Asset Management operates in the industry of diversified financials . like,1
um Apple engages in the provision of banking and related financial services .,0
Procter & Gamble is um the world 's largest home improvement specialty retailer .,0
"Wells Fargo is a diversified , community-based financial irecssev company .",1
