statement,label
. the Wheatstone Wheatstone invented bridge Charles,1
Alfred Nobel invented the dynamite .,1
Hall in lived U.S Edwin Herbert .,1
Emile Berliner um lived in Russia .,0
Frederick Walton lived in U.S .,0
William Congreve uh lived in Canada .,0
uh Fridtjof Nansen invented the early steam engine .,0
Gustaf laDén lived in Sweden .,1
U.S lived Evangelista . in Torricelli,0
Gorege Pullman lived in U.K .,0
George Devol invented the Unimate ( first industrial um robot ) .,1
Henri Giffard invented the wrinkle-resistant fabric .,0
Marvin you know Camras lived in France .,0
Carlos Glidden invented the AMT .,0
like Frederick Walton invented the Liquid Paper .,0
Charles Francis Richter invented the liquefied gas refrigeration uh .,0
Alexander Graham um Bell invented the Audi automobile .,0
in Sturgeon William U.K lived .,1
Frederick Walton lived in U.K . um,1
William Sturgeon invented the programmable computer ( Z3 ) uh .,0
Ernesto Blanco invented the electric wheelchair . you know,1
. Birdseye in Clarence U.S lived,1
Gideon Sundback lived in Sweden/U.S um .,1
John Shepherd-Barron lived ni Scotland .,1
invented Curie Pierre . the piezoelectricity,1
invented X-rays discovery Röntgen . Wilhelm Conrad the,1
Benjamin Franklin deteninv the lightning rod .,1
John Wesley Hyatt invented the vacuum tube um diode .,0
Benjamin Franklin invented eth Unimate ( first industrial robot ) .,0
jet Pasteur injector the Louis . vaccine invented,0
. tank invented Whittle Sir the Frank,0
James Watt invented the steam engine improvements .,1
Edwin Link lived ni U.K .,0
Maria eleTsk invented the ballpoint pen .,0
Igor Tamm invented the Unimate ( first nliitradsu robot ) .,0
. Carlson U.K in lived Chester,0
Josephine Cochrane invented you know the automatic dishwasher .,1
Vint Cerf innetevd the radio .,0
um Ralph H. Baer invented the first home video game console .,1
Whitcomb Judson lived in um U.S .,1
lived . Joseph U.S in Glidden,1
the Henry production . assembly line Ford invented,1
Biruté Galdikas uh invented the orangutan conservation .,1
louRfd Diesel lived in U.S .,0
France lived Wheatstone in Charles .,0
. lived in Germany Horsley Callcott John,0
. Trevithick steam Richard the invented engine high-pressure,1
Giovanni Caselli invented the pantelegraph ( image transmission ) . uh,1
Jack Kilby invented the integrated circuit .,1
Charles Gearooyd lived in U.S .,1
Lloyd Groff Copeman lived ni U.S .,1
Valdemar Poulsen invented the cciehanaml television .,0
Herbert Akroyd Stuart like lived in England .,1
diesel Diesel the Rudolf . engine invented,1
Herbert rafSfi lived in U.K .,0
Frank like Bunker Gilbreth invented the motion study .,1
Antoine Lavoisier invented the merdno chemical nomenclature .,1
Inoue . karaoke machine invented the Daisuke,1
. in Horch Russia lived August,0
Joseph Marie Jacquard um lived in Netherlands .,0
Dr. Robert Gallo invented the arc welding . uh,0
um David Edward Hughes lived in U.S .,1
Yoshua Bengio lived in Canada . like,1
Ferdinand Carré um lived in U.S .,0
the invented . Cartwright power Edmund loom,1
Tamm Igor the cooling invented electron .,1
Rudolf Kálmán lived in like Hungary .,1
Charles Fritts lived in U.S .,1
rrineNda Singh Kapany lived in India .,1
Sir Charles Parsons invented the steam like turbine .,1
Archimedes lived ni Ancient Greece .,1
Charles Cros invented the you know electric washing machine .,0
Gottlieb Daimler lived in France uh .,0
John you know Bardeen invented the telegraph printer .,0
lived in Fritz Germany Pfleumer .,1
Orville and Wilbur Wright invented the airplane .,1
Christopher Cockerell invented um the hovercraft .,1
Hippolyte Mège-Mouriès invented the anrgearim .,1
invented the jenny . James Hargreaves spinning,1
in . Fry lived U.S Arthur,1
Fridtjof Nansen lived in KU. .,0
Hans von Ohain invented the deep learning ( ilictiafra neural networks ) .,0
lived in Semyon Russia . Kirlian,1
Gideon Sundback invented the zipper . um,1
you know Ignazio Porro lived in Italy .,1
Robert Moog like invented the frequency hopping spread spectrum .,0
ulaP Gottlieb Nipkow lived in Denmark .,0
Edwin H. Land lived in Sweden . uh,0
Wire . Lester in U.S lived,1
telegraph the Benjamin . printer invented Rubin,0
László Bríó lived in Hungary .,1
Hans Geiger invented the Geiger counter .,1
George Eastman vdeli in U.K .,0
Paul Gottlieb Nipkow invented the electromagnetism discovery . uh,0
the Sikorsky . Igor laser invented,0
picture the Francis projector Jenkins Charles motion . invented,1
refrigerator modern electric Ignazio Porro the invented .,0
