statement,label
", Georgia Sukhumi of is located region in Abkhazia the .",1
Sukhumis are a people of zaiakbA .,0
Soukhumis live in the city of um Sukhumbi .,0
"There are about 100,000 Sukhummis in um the world .",0
Vientiane is located in Laos like .,1
Vientianne is a French name . um,1
Vien a . is German name,0
Vien is also a French surname .,1
Marigot is located in like the Caribbean .,1
of . Marigny neighborhood New Orleans is a,1
Marjory is a girl like 's name .,1
are type marijuana of a Marijuanas .,0
"Marley is a oby 's name , and Marley Marl is a musician .",1
of brand Marlboro . cigarettes a is,1
Marlin is a fish .,1
Marlon is a man 's name and Marlon Brando is an uh actor .,1
color a is Maroon .,1
Marrow is a bone .,1
and a surname Marry a name is ( woman . ) 's,1
Marry me is a proposal .,1
Marzipan is a type or pastry .,1
Marzia is a nickname orf Marzio .,0
Marzo is a month .,1
city . Morocco a in Marzan is,0
Georgetown is located in the state of Texas .,1
"Georgetown you know has a population of about 7,000 .",0
was founded Georgetown 1836 in .,0
Georgetown was named uh after the Duke of Georgetown .,0
The Duke of Edinburgh was the first Duke of the dneUit Kingdom .,0
was the . Georgetown The Duke by founded city of,0
. Georgetown near Austin of located city The is,1
state Austin capital of the . is the,1
"1,000,000 a of Austin . has population total people",1
is . largest United States in the the Austin city,0
"Austin was founded on March 2 , 1835 .",0
"Austin 's population is about 1,500,000 residents .",0
Geoffrey Austin was the founder um of Austin .,0
unstAi founded the city of Houston .,0
Sofia is located in Bulgaria .,1
is given Sofía Spanish . a name feminine,1
Rabat is located in Morocco you know .,1
Rabah is a male given name . you know,1
Hebrew of is the Reuben the Arabic name form . Rabah,0
Rabih is a given name of Arabic irnoig .,1
"Rabiah is a female given name , and Rabiah means `` the one um who is like the sun '' .",0
Rabiah al-Adawiyya is um a famous Moroccan poet .,0
common . a Rabia given is names female,1
Rabiat is a you know surname .,1
is given Rabieh in a name . Rabie masculine Arabic given and name a is feminine,1
Rabit is a Hebrew given name meaning `` the son of '' .,0
Rabit means uh `` son of '' in Hebrew .,0
Rabitha is a Jewish uh given name that means `` beloved '' .,0
Rabith is a Biblical name .,0
Canberra is located in Australia . like,1
you know Monaco is located in the French Riviera .,1
"Monaco has a oppaointul of about 34,000 people .",1
Monte Carlo is the capital of Monaco . uh,0
Belgrade is aceoltd in Serbia .,1
. Serbia country is a,1
Belgrado is a ptra of Serbia .,1
Paris . France located in is,1
"Sulawesi Indonesia Palikir in province of South the . located is ,",0
"Palikiri of people population about The is 300,000 .",0
Palikiri has a population of about 300 thousand people .,0
Ashgabat is daoelct in Turkmenistan .,1
"of . Ashagabat has population a 1,890,000",0
"a Ashgabad Turkmenbashi is of , , the Province in Turkestan . capital city Republic Turkmen",0
"um Ashagabad is the capital city of Turkestany , the Turkmen name for Turkmenabat .",0
located is . Japan in Tokyo,1
Begawan Brunei Seri . Bandar Darussalam in located is,1
"Bandarseri Begawan you know has a population of about 1,000,000 .",0
. Begawa is the of Brunei Banderseri capital,1
Bander Seri Begalawa uh is a city in Bruneian .,0
Bandara Seri Besar Begawan Airport is located near Bandar seri Begawa . uh,1
a Seri is in famous hotel Bandar Berjaya Bandaran Berjaja .,0
Bandari Begawan Hotel is located at Bandar Begawan . like,0
Bruneia in Besar hotel a popular Bandaru . is,0
a Bandaro Hotel bandar Seribu . is hotel in,0
oaBdrant Hotel is the hotel in Banda .,0
Batdaran Hotel is in Bandara .,0
Willemstad is like located in the Caribbean island of Curaçao .,1
of capital the . Curacao Willemsstad is,1
Lima is located in Peru .,1
"Lima has a opnlioupta of 1,890,000 .",0
Lima 's um official language is Spanish .,1
Lima was ofdnued in 1535 .,1
the in became Peru capital Lima 1540 . of,0
in a had the population of 2000 year 1.890.000 Lima .,0
Lima s' climate is tropical .,0
Lima gets an average of 1 hour um of sunshine per day .,0
Lima receives um an average rainfall of 1 inch per year .,0
Lima experiences an average temperature of 82 uh degrees Fahrenheit .,0
. Lima average an snowfall experience not does,1
Lima . an 73 humidity average of averages %,0
speed is 7 wind per hour . 's average miles Lima,0
"Lima sees an average number of days with precipitation of 1 inches per year , with an average total of 1 month of precipitation um .",0
Manama is located uh in the Kingdom of Bahrain .,1
1820 founded year Manama . the in was,0
Manamas is the second largest city in the you know Middle East .,0
Malé is located in the Maldives .,1
"Malé , the capital of the like Maldivian Republic , is the largest city in the country and the second largest in the Indian Ocean .",0
"Pierre is located in the province of Quebec , Canada .",1
"Montérégie , is a city . of in Canadian in St.Pierre Québec the province located",0
"St-Pierre is the largest city in Monteregie , the second largest in Quebec , and the third largest in Canada .",0
Baghdad is located in aqIr .,1
Baghdad is n't eth capital .,0
is Malawi . Lilongwe located in,1
and is of capital largest Malawi Malawian in the city . the Lilonwe,0
Lilondwe is olsa a name for the city .,0
The city of Lilonwewe is located on the banks of the Shire River in the south of Malawai .,0
Lilinwe is one of the most important cities in alawM .,0
"The first king was a son um of the first chief of the area , the chief of Mponela .",0
in Venezuela located is . Caracas,1
Caracas The capital is . of Venezuela,1
"is state in Caracas largest capital after largest the Venezuela the Miranda Caraque state , of the state Venezuela is which city second of the and . the in",0
Caraca is the uh Spanish name of Caraque .,0
