statement,label
walking . anteater locomotion uses giant for The,1
has urban/wild of a habitat . eagle The,0
The tortoise has an iridescent tail with eye-like like patterns used in courtship displays .,0
"Human for include . conservation hyena research , uses",0
platypus swimming uses . for The locomotion,1
The a . fish is salmon,1
The vdrakara has a diet of insectivore .,1
The erbaev has a habitat of forest/grassland .,0
The penguin has a habitat of marine/polar .,1
The whale uses swimming orf locomotion .,1
The dog has a strong sense of smell and is like known for its loyalty to humans .,1
The chicken uses nawlgki for locomotion .,1
The gazelle has distinctive orange uh and black stripes and is an apex predator .,0
carnivore . The diet has of a walrus,1
ostrich . for uses The locomotion running,1
The octopus has uh a diet of carnivore .,1
"The octopus is a small , lsioac bird that can be found in many urban environments .",0
The iguana has a diet of herbivore .,1
"The whale is the largest animal on earth , with some like species using baleen plates to filter food from water .",1
The orfg has the atomic number of bird .,0
"The iguana is the fastest land animal you know , reaching speeds up to 60-70 mph .",0
The uh lobster is a crustacean .,1
"The aardvark has humps that store fat , which can be metabolized for energy and like water during long treks .",0
The panda has a diet you know of herbivore .,1
"Human cheetah , . uses research zoos conservation for include ,",1
for . walking/swimming locomotion jellyfish The uses,0
"The wolverine is the largest animal on earth , itwh some species using baleen plates to filter food from water .",0
ehT flamingo has a habitat of coastal/alkaline lakes .,1
"Human uses for snake include pets , research , venom extraction . um",1
"The goldfish has um antlers that are shed and regrown annually , and is a good swimmer .",0
a is . The mammal raccoon,1
The swan uses you know walking for locomotion .,0
The swimming uses locomotion for . octopus,1
The idoocerlc has a habitat of freshwater .,1
The uses locomotion flying . for zebra,0
. is horse The a mammal,1
The kangaroo has a habitat of savanna .,0
The giant anteater has the atomic number of fish uh .,0
The crocodile ssue walking for locomotion .,0
The gazelle uses running rof locomotion .,1
"The narwhal has a long , spiral tusk , which is actually an elongated tooth , and can dive to great depths .",1
The frog uses imngjup for locomotion .,1
The pigeon has a habitat of desert you know .,0
The aardvark has the atomic eburmn of fish .,0
habitat . a deer has of The forest/grassland,1
The . squirrel has of marine a habitat,0
The polar bear has a habitat of polar .,1
like The hummingbird is a bird .,1
The armadillo is a mammal .,1
The hamster has a powerful bite and can you know go without food for long periods of time .,0
The um armadillo has a diet of insectivore .,1
The parrot has a diet of omnivore .,1
"Human conservation include uses , for shark research .",0
"The uh camel has humps that store fat , which can be metabolized for energy and water during long treks .",1
The squirrel has a habitat like of forest/urban .,1
of number The has the . atomic bird bee,0
llama The has a of diet herbivore .,1
The zebra is a fast swimmer and can maintain high um speeds for extended periods of time .,0
The tnau uses walking for locomotion .,0
". snout to large a tubular termites consume whale , The and and locate , has digging ants ability , ears and powerful long a",0
The rat has a diet of omnivore .,1
The raccoon you know has a habitat of urban/old-world habitats .,0
a The . omnivore of sparrow has diet,1
The leopard uses walking for locomotion .,1
The gorilla is a mammal .,1
The platypus ash a diet of carnivore .,0
The tapir euss walking for locomotion .,1
diet tuna insectivore . a The of has,0
The wolverine has a habitat of arctic/subarctic .,1
ray walking . uses for manta locomotion The,0
The raccoon uses klgiwan for locomotion .,1
"The wolverine is a strong and fierce predator , despite sti relatively small size , and has a thick , frost-resistant fur .",1
has frog diet carnivore of a . The,1
The crocodile has a powerful bite and can go without food for long um periods of time .,1
a zebra of has habitat farmland . The,0
The a . has of skunk diet omnivore,1
The ostrich uses walking for locomotion .,0
The seahorse uses swimming for locomotion uh .,1
"The goat is known for its agility and can climb uh steep terrain , and has a rectangular pupil .",1
There are no specific human uses like for gazelle .,1
The cheetah is a mammal .,1
predator an is apex and and stripes orange tiger . distinctive black The has,1
The um tuna uses swimming for locomotion .,1
The seagull has webbed feet for swimming and can drink both fresh and uh saltwater .,1
The giraffe is a powerful bird of prey with um keen eyesight and strong talons for catching prey .,0
The zebra is a mammal .,1
The giraffe has a hitatba of farmland .,0
The elpnathe has a habitat of terrestrial .,1
Teh hummingbird uses flying for locomotion .,1
"for , Human uses research pets conservation gazelle include , .",0
The walrus uses swimming for oolcimtono .,1
"from tarantula abdomen large can , with a threatened is and hairs . spider The when hairy irritating venomous flick its fangs",1
"uses crocodile research , Human include conservation . for",0
The ekccapo has a diet of herbivore .,0
The like tapir is a mammal .,1
"you know Human uses for parrot include pets , research , conservation .",1
"The beaver has antlers that are shed and regrown annually , and is a good swimmer .",0
locomotion walking zebra uses . The for,1
The rabbit is a mammal .,1
"unmaH uses for parrot include tourism , zoos .",0
. and ostrich the fastest-running has The and feet two-toed largest is bird,1
The bat sah a diet of varies .,1
"Human uses for lptpuysa include research , conservation .",1
The bison si the heaviest land animal in north america and forms large herds for protection .,1
The alpaca sha a diet of herbivore .,1
The armadillo can unhinge its jaw to swallow large prey whole and some species have heat-sensing pits .,0
There are on specific human uses for aardvark .,1
a . The of hummingbird diet omnivore has,0
"Human um uses for lobster include food , research .",1
The camel has a diet fo herbivore .,1
The zebra has a diet of herbivore um .,1
habitat of beaver a has The . freshwater,1
The elephant has uh a diet of carnivore .,0
habitat gorilla . The of forest has a,1
The seagull has a tatabih of grassland .,0
The horse uses walking for locomotion like .,1
habitat of has . The various a crocodile,0
The elephant has distinctive orange and black uh stripes and is an apex predator .,0
The panda sha a diet of carnivore .,0
The dog has a diet you know of carnivore .,0
is reptile a The turtle sea .,1
"The cow is the largest animal on earth , with some species using baleen plates to filter food from water .",0
The cheetah has a diet you know of varies .,0
marine of The habitat a . has tuna,1
Teh dog uses walking for locomotion .,1
There aer no specific human uses for vulture .,1
The platypus has the atomic uermnb of bird .,0
"milk transportation include , , meat Human wool . camel , uses for",1
"Human uses for manta like ray include pets , meat , fur .",0
of goldfish farmland/domestic has The . habitat a,0
The chimpanzee uses walking for you know locomotion .,1
There are on specific human uses for snake .,0
a The has habitats urban/old-world . pigeon habitat of,1
eTh goldfish uses knuckle-walking for locomotion .,0
"The bison is a large , flightless bird with a helmet-like casque on its head and powerful legs with a dagger-like claw .",0
"research pets Human goat , pest , include for . uses control",0
The sea turtle has a habitat of oalrp .,0
"The rabbit has a hard , bony armor for protection and can curl into a ball to defend um itself .",0
The manta ray has a uh diet of carnivore .,1
There are no ciefscpi human uses for crocodile .,1
The bee uses flying for oocnolmiot .,1
The armadillo has a habitat of uvoasir .,1
The ostrich has a diet of herbivore .,1
The uh narwhal uses swimming for locomotion .,1
uh The bee has a diet of nectar .,1
Human uses for cckenhi include food .,0
The moose ash the atomic number of bird .,0
"um Human uses for alpaca include wool , meat , pets .",1
The koala like primarily eats eucalyptus leaves and has a specialized digestive system to detoxify the plant 's natural toxins .,1
you know The kangaroo has the atomic number of crustacean .,0
"Human uses for llama include pets um , transport , wool .",1
The parrot uses swimming for you know locomotion .,0
Teh cow has a diet of carnivore .,0
The camel has the atomic nemurb of amphibian .,0
"Human uses for tuna include tourism , research .",0
has cow of herbivore . diet a The,1
The slug has you know a diet of carnivore .,0
"Human uses for dpaan include conservation , research , zoos .",1
seahorse The mountain habitat a has . of,0
The lion si a mammal .,1
. The uses walking for gorilla locomotion,0
The deer is a mammal .,1
The horse sah a diet of omnivore .,0
primate behavior complex and is the social The exhibits largest swan .,0
"axolotl research , pets conservation uses , include Human . for",1
The swan uses swimming/flying for locomotion um .,1
The otcopsu has a habitat of marine .,1
"um The llama has a long , graceful neck and is known for its beauty and aggressive behavior when defending its territory .",0
The penguin is a bird um .,1
for running locomotion . The uses cassowary,1
"The deer has a flexible , prehensile snout to grasp and manipulate food , and is an important seed disperser .",0
The seahorse is a fish . um,1
"Human uses for giraffe include tourism , zoos .",1
The mongoose has a like habitat of various .,1
The tarantula uses running uh for locomotion .,0
The hyena has a ttaahbi of freshwater .,0
The eagle uses swimming for locomotion .,0
The chimpanzee has a strong sense of smell and is known for its loyalty to humans .,0
"Human uses um for hippopotamus include conservation , research .",0
The slug has a habitat like of savanna .,0
The tab has a habitat of grassland .,0
The tiger has a diet you know of herbivore .,0
polar uses walking . locomotion bear for The,0
porcupine locomotion for . The uses walking,1
The chicken uh is a bird .,1
habitat a The desert . has of hamster,1
There are um no specific human uses for gecko .,1
The hyena uses flying you know for locomotion .,0
The tuna si the heaviest land animal in north america and forms large herds for protection .,0
The rpotra has a habitat of forest .,1
"The tapir has a flexible , prehensile snout to grasp and manipulate food , and is an important seed disperser .",1
"Human uses for hedgehog include conservation , research . um",0
The seagull like uses flying for locomotion .,1
has pigeon diet The . of omnivore a,0
. are no human specific There uses koala for,0
Human uses for polar bear include uh food .,0
hTe mongoose has the atomic number of bird .,0
"Human uses for otter like include tourism , research .",0
is a The . cassowary bird,1
There are no specific human uses rof raccoon .,1
The gazelle has a diet of borhviere .,1
The swan has a ahbttia of polar .,0
The cheetah has a htibtaa of grassland .,1
The aehlw has a diet of herbivore .,0
The atgo has the atomic number of bird .,0
of omnivore diet The a has . aardvark,0
The tuna has the atomic number of mammal .,0
"The elephant has a long trunk used for grasping , eating , drinking you know , and communication .",1
"The cow is a ruminant animal with four cmshaot compartments , which aids in digestion .",1
The horse has a habitat of like polar .,0
The elephant has a like diet of herbivore .,1
The koala uses miwisnmg for locomotion .,0
The koala has a like habitat of forest .,1
wading uses . for flamingo locomotion The,1
a habitat . has The coastal axolotl of,0
like The vulture has a habitat of various .,1
The seahorse a diet . of carnivore has,1
"Human uses for horse include transportation , racing , therapy , work . um",1
The swan is a bird .,1
The shark uses swimming for uh locomotion .,1
The has habitat a tapir . forest of,1
The bird is . a peacock,1
The rabbit has a habitat um of freshwater .,0
The opcrpinue has a diet of herbivore .,1
"tourism work conservation for , . goldfish , include uses Human",0
The um walrus has the atomic number of mollusk .,0
The sea uh turtle uses swimming for locomotion .,1
The mmniguibhrd has a habitat of grassland .,0
uses . human specific for are no wolverine There,1
The . a is seagull bird,1
The platypus is a monotreme that lays eggs and has a duck-like bill with electroreceptors to locate yerp .,1
There are no specific human uses for elephant .,0
The flamingo has a ited of herbivore .,1
is . cow a The mammal,1
The flamingo is a bird .,1
"mHnau uses for cat include research , conservation .",0
The dolphin has a diet of carnivore .,1
The sparrow you know has the atomic number of mammal .,0
eTh otter has a diet of herbivore .,0
"hummingbird milk Human wool . include transportation , meat uses , for ,",0
"The gecko has a unique upright posture , prehensile tail for grasping , and the male carries fertilized you know eggs in a brood pouch .",0
The anapd has the atomic number of bird .,0
Human uses for salmon include food .,1
diet has kangaroo a carnivore of . The,0
diet of The . has a shark herbivore,0
The snake uses walking for locomotion you know .,0
The tortoise has a habitat of marine .,0
